Epoch: 0, Train Loss: 0.11856542747467756, Test Loss: 0.11524408310651779
Epoch: 50, Train Loss: 0.027950468257069587, Test Loss: 0.027742148144170642
Epoch: 100, Train Loss: 0.01983102026954293, Test Loss: 0.015445173135958612
Epoch: 150, Train Loss: 0.018683390267193317, Test Loss: 0.008268847537692636
Epoch: 200, Train Loss: 0.013852850878611206, Test Loss: 0.0026570996415102854
Epoch: 250, Train Loss: 0.012565658286213874, Test Loss: 0.0017590604547876865
Epoch: 300, Train Loss: 0.01335607934743166, Test Loss: 0.0015607318346155807
Epoch: 350, Train Loss: 0.012459607894066721, Test Loss: 0.0010318530330550857
Epoch: 400, Train Loss: 0.011573809980647639, Test Loss: 0.0010645693982951343
Epoch: 450, Train Loss: 0.009777729876106605, Test Loss: 0.0003180643907398917
